Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
kongu naadu,Kambu Koozh,veg,1 cup,3.1,14.5,1.9,1.9,43.0,250.0,86.0,,0,0,5,0
kongu naadu,Vazhaipoo Vadai,veg,1 piece,2.4,7.6,6.0,2.4,18.66,40.0,94.0,,0,0,5,0
