Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
malwa nimar,bhutte ka kees,Snack/Breakfast,1 cup,5.3,24.3,10.5,3.0,54.30,166,196
malwa nimar,poha,Breakfast/Lunch,1 bowl,5.0,53.0,7.9,2.2,25.00,220,302
malwa nimar,dal bafla,Lunch/Dinner,1 serve,15.3,61.8,24.3,11.3,110.06,240,526
malwa nimar,khasta kachori,Snack/Breakfast,1 piece,5.0,23.0,12.0,1.7,15.91,50,224
malwa nimar,kadhi,Lunch/Dinner,1 cup,4.8,8.6,8.5,1.5,138.80,250,129
malwa nimar,achari gosht,Lunch/Dinner,1 cup,15.0,8.7,19.8,2.5,171.61,166,273
malwa nimar,palak puri ,Breakfast/Lunch,1 piece,3.4,18.7,8.0,3.0,16.90,50,162
malwa nimar,moong dal halwa,Dessert,1 cup,9.6,47.0,15.4,3.2,72.00,216,361
