Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Narmada,puri and aloo sabji,Breakfast/Lunch,1 serve,9.6,58.6,16.0,8.7,47.40,175,416
Narmada,poha,Snack/Breakfast,1 bowl,5.0,53.0,7.9,2.2,25.00,220,302
Narmada,papad ki sabji,Lunch/Dinner,1 bowl,8.0,18.0,22.0,5.0,168.80,350,295
Narmada,chakali,Snack/Breakfast,1 piece,0.4,2.0,0.9,0.2,1.28,5,18
Narmada,jowar ki roti,Breakfast/Lunch,1 roti,2.0,19.5,0.8,1.7,3.83,50,91
Narmada,khandvi,Snack/Breakfast,1 piece,1.3,2.7,1.6,0.5,19.70,20,30
Narmada,bharwa baingan,Lunch/Dinner,1 piece,0.9,3.7,8.4,1.9,22.70,50,92
