Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Central MP,seekh kebab,Lunch/Dinner,1 piece,7.0,2.0,14.0,0.4,7.94,66,160
Central MP,mawa bati,Dessert,1 piece,1.8,14.8,9.7,0.2,74.00,40,152
Central MP,malpua rabdi,Dessert,1 piece,5.0,22.0,9.5,0.5,108.00,83,193
Central MP,puri and aloo sabji,Breakfast/Lunch,1 serve,9.6,58.6,16.0,8.7,47.40,175,416
Central MP,bharli bhindi,Lunch/Dinner,1 cup,4.2,18.0,7.8,8.3,172.00,166,152
