age,gender,height,weight,bmi,bmr,activity_level,total_daily_expenditure,carbs,protein,fat
51,1,1.75,92.0,29.95,1872.94174,1.2,2247.530088,1011.38854,674.2590264,561.882522
47,0,1.6,80.0,31.24,1479.58496,1.2,1775.501952,798.9758784,532.6505856,443.875488
68,0,1.52,72.0,31.0,1291.0722,1.2,1549.28664,697.178988,464.785992,387.32166
51,1,1.75,92.0,29.95,1872.94174,1.2,2247.530088,1011.38854,674.2590264,561.882522
63,0,1.65,55.0,20.18,1194.8678,1.725,2061.146955,1133.630825,412.229391,515.2867388
72,1,1.73,85.0,28.49,1647.96628,1.2,1977.559536,889.9017912,593.2678608,494.389884
52,1,1.7,75.0,25.9,1615.14682,1.55,2503.477571,1126.564907,751.0432713,625.8693928
35,0,1.6,114.0,44.52,1845.94296,1.2,2215.131552,996.8091984,664.5394656,553.782888
51,1,1.68,102.0,36.29,1970.34336,1.2,2364.412032,1063.985414,709.3236096,591.103008
35,0,1.57,70.0,28.23,1431.20604,1.2,1717.447248,772.8512616,515.2341744,429.361812
62,1,1.65,62.0,22.75,1359.9369,1.725,2345.891153,1290.240134,469.1782305,586.4727881
42,1,1.78,92.0,29.1,1936.1342,1.2,2323.36104,1045.512468,697.008312,580.84026
42,1,1.78,92.0,29.1,1936.1342,1.2,2323.36104,1045.512468,697.008312,580.84026
58,1,1.65,78.5,28.8,1603.6554,1.2,1924.38648,865.973916,577.315944,481.09662
34,0,1.57,60.0,24.19,1343.06604,1.725,2316.788919,1274.233905,463.3577838,579.1972298
54,0,1.45,55.7,26.57,1177.35934,1.2,1412.831208,635.7740436,423.8493624,353.207802
61,1,1.7,84.5,29.18,1691.41532,1.2,2029.698384,913.3642728,608.9095152,507.424596
60,1,1.68,84.0,29.89,1678.19436,1.2,2013.833232,906.2249544,604.1499696,503.458308
54,1,1.83,50.0,14.95,1329.83512,1.2,1595.802144,718.1109648,478.7406432,398.950536
34,0,1.57,60.0,24.19,1343.06604,1.725,2316.788919,1274.233905,463.3577838,579.1972298
52,0,1.7,100.0,34.53,1674.35064,1.2,2009.220768,904.1493456,602.7662304,502.305192
60,1,1.68,75.0,26.69,1557.62136,1.2,1869.145632,841.1155344,560.7436896,467.286408
9,0,1.22,40.0,26.91,1156.21116,1.2,1387.453392,624.3540264,416.2360176,346.863348
54,1,1.7,80.0,27.62,1670.79782,1.2,2004.957384,902.2308228,601.4872152,501.239346
54,1,1.7,80.0,27.62,1670.79782,1.2,2004.957384,902.2308228,601.4872152,501.239346
60,1,1.68,75.0,26.69,1557.62136,1.2,1869.145632,841.1155344,560.7436896,467.286408
80,0,1.63,76.0,28.76,1307.57588,1.2,1569.091056,706.0909752,470.7273168,392.272764
59,0,1.55,65.0,27.08,1273.18212,1.2,1527.818544,687.5183448,458.3455632,381.954636
59,0,1.55,65.0,27.08,1273.18212,1.2,1527.818544,687.5183448,458.3455632,381.954636
52,1,1.7,87.0,30.04,1775.91082,1.2,2131.092984,958.9918428,639.3278952,532.773246
70,0,1.22,45.0,30.27,938.31616,1.2,1125.979392,506.6907264,337.7938176,281.494848
59,1,1.65,78.0,28.62,1591.2899,1.2,1909.54788,859.296546,572.864364,477.38697
49,0,1.52,55.0,23.68,1216.1432,1.725,2097.84702,1153.815861,419.569404,524.461755
43,0,1.6,76.0,29.68,1459.91696,1.2,1751.900352,788.3551584,525.5701056,437.975088
46,0,1.57,70.4,28.39,1387.27484,1.2,1664.729808,749.1284136,499.4189424,416.182452
49,0,1.65,83.0,30.45,1514.4038,1.2,1817.28456,817.778052,545.185368,454.32114
45,0,1.63,60.0,22.71,1311.17388,1.55,2032.319514,914.5437813,609.6958542,508.0798785
47,0,1.68,60.0,21.35,1318.25172,1.55,2043.290166,919.4805747,612.9870498,510.8225415
86,1,1.68,70.9,25.23,1355.35166,1.2,1626.421992,731.8898964,487.9265976,406.605498
48,1,1.73,76.0,25.48,1663.40128,1.2,1996.081536,898.2366912,598.8244608,499.020384
48,0,1.63,78.0,29.52,1464.62988,1.2,1757.555856,790.9001352,527.2667568,439.388964
50,0,1.57,68.0,27.42,1347.76204,1.2,1617.314448,727.7915016,485.1943344,404.328612
61,1,1.63,60.0,22.71,1326.62044,1.55,2056.261682,925.3177569,616.8785046,514.0654205
63,1,1.73,69.0,23.13,1484.61728,1.55,2301.156784,1035.520553,690.3470352,575.289196
48,0,1.63,75.0,28.38,1436.88888,1.2,1724.266656,775.9199952,517.2799968,431.066664
58,0,1.57,52.0,20.97,1165.17004,1.55,1806.013562,812.7061029,541.8040686,451.5033905
63,1,1.73,69.0,23.13,1484.61728,1.55,2301.156784,1035.520553,690.3470352,575.289196
62,1,1.75,58.7,19.11,1364.48464,1.725,2353.736004,1294.554802,470.7472008,588.434001
71,0,1.52,53.0,22.82,1102.3892,1.55,1708.70326,768.916467,512.610978,427.175815
47,1,1.63,77.0,29.14,1633.70744,1.2,1960.448928,882.2020176,588.1346784,490.112232
57,1,1.83,92.0,27.51,1875.50812,1.2,2250.609744,1012.774385,675.1829232,562.652436
63,1,1.73,63.0,21.12,1404.23528,1.55,2176.564684,979.4541078,652.9694052,544.141171
41,0,1.63,65.0,24.6,1374.72888,1.55,2130.829764,958.8733938,639.2489292,532.707441
45,1,1.73,74.0,24.81,1653.60828,1.55,2563.092834,1153.391775,768.9278502,640.7732085
33,1,1.88,104.0,29.44,2196.65904,1.2,2635.990848,1186.195882,790.7972544,658.997712
41,0,1.63,65.0,24.6,1374.72888,1.55,2130.829764,958.8733938,639.2489292,532.707441
63,1,1.68,53.0,18.86,1245.88636,1.725,2149.153971,1182.034684,429.8307942,537.2884928
74,1,1.6,68.5,26.75,1354.63448,1.2,1625.561376,731.5026192,487.6684128,406.390344
40,0,1.6,82.0,32.02,1528.38896,1.2,1834.066752,825.3300384,550.2200256,458.516688
29,1,1.73,61.0,20.45,1570.11928,1.725,2708.455758,1489.650667,541.6911516,677.1139395
41,1,1.8,97.0,29.83,2020.97566,1.2,2425.170792,1091.326856,727.5512376,606.292698
34,0,1.63,85.0,32.17,1589.97888,1.2,1907.974656,858.5885952,572.3923968,476.993664
41,1,1.8,97.0,29.83,2020.97566,1.2,2425.170792,1091.326856,727.5512376,606.292698
51,1,1.73,94.0,31.51,1887.54628,1.2,2265.055536,1019.274991,679.5166608,566.263884
39,1,1.75,96.0,31.25,1994.53374,1.2,2393.440488,1077.04822,718.0321464,598.360122
30,0,1.65,89.0,32.65,1652.1558,1.2,1982.58696,892.164132,594.776088,495.64674
51,1,1.75,93.0,30.28,1886.33874,1.2,2263.606488,1018.62292,679.0819464,565.901622
39,1,1.75,96.0,31.25,1994.53374,1.2,2393.440488,1077.04822,718.0321464,598.360122
30,0,1.65,75.3,27.62,1525.4719,1.2,1830.56628,823.754826,549.169884,457.64157
57,1,1.6,65.0,25.38,1404.08398,1.2,1684.900776,758.2053492,505.4702328,421.225194
