age,gender,height,weight,bmr,activity_level,total_daily_expenditure
47,M,1.63,77.0,1633.70744,1.2,1960.448928
57,M,1.83,92.0,1875.50812,1.2,2250.609744
63,M,1.73,63.0,1404.23528,1.55,2176.564684
41,F,1.63,65.0,1374.72888,1.55,2130.829764
45,M,1.73,74.0,1653.60828,1.55,2563.092834
41,F,1.63,65.0,1374.72888,1.55,2130.829764
63,M,1.68,53.0,1245.88636,1.725,2149.153971
74,M,1.6,68.5,1354.63448,1.2,1625.561376
40,F,1.6,82.0,1528.38896,1.2,1834.066752
29,M,1.73,61.0,1570.11928,1.725,2708.455758
41,M,1.8,97.0,2020.97566,1.2,2425.170792
34,F,1.63,85.0,1589.97888,1.2,1907.974656
41,M,1.8,97.0,2020.97566,1.2,2425.170792
51,M,1.73,94.0,1887.54628,1.2,2265.055536
39,M,1.75,96.0,1994.53374,1.2,2393.440488
30,F,1.65,89.0,1652.1558,1.2,1982.58696
51,M,1.75,93.0,1886.33874,1.2,2263.606488
39,M,1.75,96.0,1994.53374,1.2,2393.440488
30,F,1.65,75.3,1525.4719,1.2,1830.56628
57,M,1.6,65.0,1404.08398,1.2,1684.900776
30,F,1.65,75.3,1525.4719,1.2,1830.56628
63,F,1.55,61.0,1218.87412,1.2,1462.648944
60,M,1.68,66.0,1437.04836,1.55,2227.424958
38,F,1.52,67.7,1381.2101,1.2,1657.45212
51,F,1.63,91.0,1571.85088,1.2,1886.221056
47,M,1.7,74.0,1630.08482,1.2,1956.101784
47,M,1.7,74.0,1630.08482,1.2,1956.101784
47,M,1.6,64.5,1454.05548,1.2,1744.866576
49,M,1.6,72.0,1543.19898,1.2,1851.838776
54,M,1.68,72.0,1551.43236,1.2,1861.718832
49,M,1.6,75.0,1583.38998,1.2,1900.067976
41,M,1.78,80.0,1781.0372,1.2,2137.24464
77,M,1.63,49.0,1088.58144,1.725,1877.802984
56,F,1.52,71.0,1333.7852,1.2,1600.54224
25,M,1.83,80.0,1896.08812,1.55,2938.936586
27,M,1.83,89.0,2005.32712,1.2,2406.392544
41,M,1.78,80.0,1781.0372,1.2,2137.24464
19,F,1.63,107.0,1858.36288,1.2,2230.035456
49,M,1.6,72.0,1543.19898,1.2,1851.838776
49,M,1.78,94.0,1923.2592,1.2,2307.91104
64,F,1.57,72.0,1324.13004,1.2,1588.956048
64,F,1.52,62.0,1215.9222,1.2,1459.10664
64,F,1.57,72.0,1324.13004,1.2,1588.956048
66,M,1.63,64.0,1351.87344,1.55,2095.403832
45,F,1.6,74.0,1432.76296,1.2,1719.315552
47,F,1.57,45.0,1148.07104,1.725,1980.422544
51,M,1.75,79.0,1698.78074,1.2,2038.536888
42,M,1.68,76.0,1673.02436,1.2,2007.629232
69,M,1.63,69.0,1401.85744,1.2,1682.228928
56,M,1.78,81.0,1709.4292,1.2,2051.31504
22,F,1.68,72.0,1537.46572,1.2,1844.958864
51,M,1.55,61.0,1360.11906,1.2,1632.142872
70,M,1.57,57.0,1211.04752,1.55,1877.123656
55,F,1.65,83.0,1488.4238,1.2,1786.10856
74,F,1.6,67.0,1242.46396,1.2,1490.956752
52,F,1.6,63.5,1305.2975,1.55,2023.211125
40,M,1.77,83.0,1823.056,1.725,3144.7716
47,M,1.7,74.0,1629.221,1.2,1955.0652
65,F,1.49,48.5,1076.2245,1.725,1856.487263
47,F,1.62,58.0,1282.285,1.725,2211.941625
44,M,1.77,69.0,1612.83,1.9,3064.377
54,F,1.67,68.3,1362.7091,1.9,2589.14729
70,F,1.49,47.0,1040.704,1.725,1795.2144
74,M,1.8,85.0,1671.569,1.2,2005.8828
55,M,1.72,71.0,1553.292,1.725,2679.4287
44,M,1.72,77.0,1696.011,1.55,2628.81705
36,M,1.7,68.0,1611.176,1.55,2497.3228
71,M,1.7,67.0,1399.434,1.2,1679.3208
51,M,1.8,85.0,1801.91,1.725,3108.29475
52,F,1.6,62.0,1291.427,1.55,2001.71185
69,M,1.65,62.0,1319.788,1.55,2045.6714
52,F,1.67,105.0,1710.734,1.2,2052.8808
44,M,1.7,76.0,1673.016,1.55,2593.1748
49,M,1.85,82.0,1797.048,1.725,3099.9078
36,M,1.7,67.0,1597.779,1.55,2476.55745
74,M,1.8,84.0,1658.172,1.725,2860.3467
39,M,1.75,80.4,1784.2928,1.725,3077.90508
39,M,1.8,80.4,1808.2878,1.725,3119.296455
48,M,1.7,69.5,1563.2675,1.725,2696.636438
63,M,1.7,61.5,1371.0865,1.55,2125.184075
60,F,1.6,64.5,1279.9045,1.55,1983.851975
34,M,1.77,94.5,2011.1235,1.2,2413.3482
44,M,1.7,76.0,1673.016,1.55,2593.1748
44,M,1.72,65.0,1535.247,1.9,2916.9693
