Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
South Karnataka,Haalu Payasa (Kheer),[Dessert],1 cup,12.40,75.10,18.90,0.70,365.22,250.00,508.00
South Karnataka ,Bassaru,,,,,,,,,
South Karnataka,Kadlekalu Usli,"[Breakfast, Snack]",1 cup,9.20,31.80,10.70,14.70,88.61,166.00,260.00
South Karnataka,Majjige Huli,"[Lunch, Dinner]",1 cup,3.90,8.70,9.30,4.40,121.8,250.00,133.00
South Karnataka,Badanekai Yennegai,"[Lunch, Dinner]",1 cup,5.10,13.80,12.60,6.40,66.88,250.00,184.00
Malnad,akki roti,"[Breakfast, Dinner]",1 roti,2.20,26.70,4.90,1.40,14.48,80.00,162.00
Malnad,kadubu,"[Breakfast, Snack]",1 kadubu,1.40,16.90,0.70,0.70,9.3,45.00,81.00
Malnad,Pathrode,"[Snack, Lunch, Dinner]",1 Pathrode,1.70,6.80,3.00,1.70,19.81,30.00,60.00
Malnad,Bamboo Shoot Curry,"[Lunch, Dinner] ​",1 katori,3.40,10.10,8.30,4.10,38.09,150.00,125.00
Malnad,Koli Curry,Lunch/Dinner,1 cup,26.10,8.70,13.80,3.00,64.13,250.00,267.00
Malnad,Nellikai Chitranna,Lunch/Dinner,1 bowl,4.40,43.40,3.20,2.40,43.75,220.00,219.00
Malnad,Mushroom Curry,Lunch/Dinner,1 cup,5.10,11.60,7.50,3.60,41.11,250.00,124.00
Malnad,Tuppa Dosa,Breakfast,1 dosa,3.40,21.30,9.00,1.20,7.2,80.00,180.00
Malnad,Menasinakai Bajji,Lunch/Dinner,1 bajji,2.40,7.10,9.90,1.50,18.79,80.00,127.00
Malnad,Shavige Uppittu,Breakfast,1 cup,4.20,33.40,3.90,4.50,30.38,166.00,184.00
Malnad,Kayi Holige,Lunch/Dinner,1 poli,3.70,36.00,10.40,4.50,28.76,75.00,252.00
Malnad,Puli Koddel,Lunch/Dinner,1 cup,1.90,16.10,19.30,5.30,79.39,250.00,244.00
Malnad,ragi mudde,Lunch/Dinner,2 balls,4.30,42.80,0.80,6.80,212.83,300.00,195.00
Malnad,kesari bhath,Breakfast/Dessert,1/2 cup (katori),2.80,32.50,6.30,1.00,11.34,130.00,195.00
