Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
chola nadu,chapati + Pudukkottai Fish Curry,non veg,1 medium  + 1 cup,31.74,32.45,12.38,8.08,542.0,290.0,365.6,,1,1,5.0,seafood
chola nadu,chapati + Nagapattinam Nei Meen Fry,non veg,1 medium  + 1 fillet,83.14,18.45,11.58,3.88,122.0,436.0,535.6,,1,1,5.0,seafood
chola nadu,chapati + Karuvadu Kuzhambu,non veg,1 medium  + 1 cup,14.44,35.45,21.08,9.88,116.0,290.0,384.6,,1,1,5.0,seafood
chola nadu,chapati + Karaikudi Meen Varuval,non veg,1 medium  + 1 piece,17.64,20.45,8.88,4.28,7.82,120.0,230.6,,1,1,5.0,seafood
