Cuisines,Food item,Type,MealTimings,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,meat_type
South Indian,carrot and ginger dosa + tomato chutney,veg,b,1 Serving + 1 tbsp,4.88,44.04,14.56,3.74,0,376.68,325.21,,1,1,5.0
South Indian,carrot and ginger dosa + mango chutney,veg,b,1 Serving + 1 tbsp,4.6899999999999995,44.7,14.53,3.49,0,347.68,324.88,,1,1,5.0
South Indian,carrot and ginger dosa + green chutney,veg,b,1 Serving + 1 tablespoon,5.3999999999999995,38.03,15.84,3.76,0,347.68,312.2,,1,1,5.0
South Indian,carrot and ginger dosa + garlic chutney,veg,b,1 Serving + 1 cup,5.81,41.12,33.71,4.4,0,486.53,483.84999999999997,,1,1,5.0
South Indian,carrot and ginger dosa + tamarind chutney,veg,b,1 Serving + 1 tbsp,4.6499999999999995,41.23,14.459999999999999,3.54,0,348.53000000000003,310.29999999999995,,1,1,4.0
South Indian,carrot and ginger dosa + dahi,veg,b,1 Serving + 5.3 oz container,18.05,42.33,21.93,3.29,0,480.68,437.03,,1,1,3.0
South Indian,idli + sambar,veg,b,1 idli + 1 bowl (2 cups),15.77,64.45,1.78,15.16,0,544.5,317.81,,1,1,5.0
South Indian,idli + coconut chutneys,veg,b,1 idli + 2 tbsp,2.92,16.54,4.82,2.21,0,75.7,117.97,,1,1,5.0
South Indian,idli + green chutney,veg,b,1 idli + 1 tablespoon,2.5,13.29,1.8499999999999999,1.01,0,55.5,78.68,,1,1,5.0
South Indian,idli + dahi,veg,b,1 idli + 5.3 oz container,15.15,17.59,7.94,0.54,0,188.5,203.51,,1,1,3.0
South Indian,idli vada + sambar,veg,b,1 idli + 1 bowl (2 cups),15.77,64.45,1.78,15.16,0,544.5,317.81,,1,1,5.0
South Indian,idli vada + coconut chutneys,veg,b,1 idli + 2 tbsp,2.92,16.54,4.82,2.21,0,75.7,117.97,,1,1,5.0
South Indian,idli vada + green chutney,veg,b,1 idli + 1 tablespoon,2.5,13.29,1.8499999999999999,1.01,0,55.5,78.68,,1,1,5.0
South Indian,appam + sambar,veg,b,1 piece + 1 bowl (2 cups),15.59,69.50999999999999,3.7300000000000004,15.229999999999999,0,551.94,354.09000000000003,,1,1,4.0
South Indian,appam + coconut chutneys,veg,b,1 piece + 2 tbsp,2.74,21.6,6.77,2.28,0,83.14,154.25,,1,1,5.0
South Indian,appam + onion chutney,veg,b,1 piece + 2 tbsp,1.8399999999999999,18.85,4.83,0.96,0,80.53999999999999,125.16000000000001,,1,1,5.0
South Indian,appam + tomato chutney,veg,b,1 piece + 1 tbsp,1.8,24.36,2.52,1.06,0,91.94,127.97,,1,1,5.0
South Indian,appam + mango chutney,veg,b,1 piece + 1 tbsp,1.6099999999999999,25.02,2.49,0.81,0,62.94,127.64000000000001,,1,1,5.0
South Indian,appam + green chutney,veg,b,1 piece + 1 tablespoon,2.32,18.35,3.8,1.08,0,62.94,114.96000000000001,,1,1,5.0
South Indian,appam + garlic chutney,veg,b,1 piece + 1 cup,2.73,21.439999999999998,21.67,1.7200000000000002,0,201.79,286.61,,1,1,5.0
South Indian,appam + tamarind chutney,veg,b,1 piece + 1 tbsp,1.57,21.55,2.42,0.86,0,63.79,113.06,,1,1,5.0
North Indian,dal paratha + dahi,veg,b,1 Paratha + 5.3 oz container,17.66,26.65,12.969999999999999,1.91,0,214.01999999999998,293.93,,1,1,5.0
North Indian,roti paratha + rajma,veg,b,1 piece + 1 cup,20.369999999999997,76.19,11.32,18.91,0,256.0,482.33000000000004,,1,1,5.0
North Indian,palak paratha + chole,veg,b,1 Piece + 1 cup,11.79,51.459999999999994,22.48,9.39,0,278.56,441.15999999999997,,1,1,5.0
North Indian,palak paratha + channa masala,veg,b,1 Piece + 1 cup,11.79,51.459999999999994,22.48,9.39,0,278.56,441.15999999999997,,1,1,5.0
North Indian,palak paratha + rajma,veg,b,1 Piece + 1 cup,19.47,63.19,6.92,13.120000000000001,0,260.48,385.02,,1,1,5.0
North Indian,palak paratha + dahi,veg,b,1 Piece + 5.3 oz container,17.62,28.799999999999997,13.530000000000001,1.79,0,233.48000000000002,305.73,,1,1,5.0
North Indian,onion paratha + chole,veg,b,1 piece + 1 cup,13.34,68.57,27.15,16.07,0,310.84000000000003,557.48,,1,1,5.0
North Indian,onion paratha + channa masala,veg,b,1 piece + 1 cup,13.34,68.57,27.15,16.07,0,310.84000000000003,557.48,,1,1,5.0
North Indian,onion paratha + rajma,veg,b,1 piece + 1 cup,21.02,80.3,11.59,19.8,0,292.76,501.34000000000003,,1,1,5.0
North Indian,onion paratha + dahi,veg,b,1 piece + 5.3 oz container,19.17,45.91,18.2,8.47,0,265.76,422.05,,1,1,5.0
North Indian,paneer paratha + chole,veg,b,1 piece + 1 cup,15.370000000000001,49.25,24.23,10.629999999999999,0,272.83000000000004,457.04,,1,1,5.0
North Indian,paneer paratha + channa masala,veg,b,1 piece + 1 cup,15.370000000000001,49.25,24.23,10.629999999999999,0,272.83000000000004,457.04,,1,1,5.0
North Indian,paneer paratha + rajma,veg,b,1 piece + 1 cup,23.05,60.980000000000004,8.67,14.36,0,254.75,400.9,,1,1,5.0
North Indian,paneer paratha + dahi,veg,b,1 piece + 5.3 oz container,21.2,26.59,15.280000000000001,3.03,0,227.75,321.61,,1,1,5.0
North Indian,chana dal paratha + rajma,veg,b,1 Paratha + 1 cup,19.509999999999998,61.04,6.359999999999999,13.24,0,241.01999999999998,373.22,,1,1,5.0
