Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
himachal pradesh,dham,,1 piece,18.0,117.5,26.7,11.4,800,776
himachal pradesh,chana madra,,1 bowl,18.0,52.0,14.0,15.0,350,395
himachal pradesh,siddu,,1 piece,5.7,23.3,1.3,4.2,59,127
himachal pradesh,babru,,1 piece,8.7,36.0,8.8,6.0,80,257
himachal pradesh,ghost,,1 piece,84.0,0.0,60.3,0.0,453,880
himachal pradesh,trout fish,,1 piece,16.4,0.0,5.2,0.0,80,117
himachal pradesh,patande,,1 piece,1.5,9.2,3.2,0.8,40,70
himachal pradesh,bhey mutter,,1 bowl,7.1,49.3,8.8,7.6,233,296
