Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
Nagpur division,Tarri Poha,veg,1 cup,6.9,45.0,12.0,7.6,75.25,250,313.0,,0,0,5,0
Nagpur division,Sabudana poha,veg,1 cup,4.0,46.0,7.6,2.5,30.33,166,267.0,,0,0,5,0
