Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Gwalior,gajak,Dessert,1 piece,0.7,5.1,1.8,0.6,51.00,8.3,39
Gwalior,bedai,Breakfast,1 piece,5.0,20.6,9.7,4.5,39.69,50.0,188
Gwalior,shikanji,Beverage,1 glass,0.2,14.2,0.2,0.1,13.28,250.0,55
Gwalior,matar kachori,Snack,1 piece,3.8,20.2,11.4,1.0,13.17,65.0,200
Gwalior,navratan korma,Lunch/Dinner,1 cup,12.0,22.3,22.0,5.7,151.00,250.0,330
Gwalior,besan gatte ki sabji,Lunch/Dinner,1 cup,13.4,36.9,9.4,8.7,69.00,250.0,285
