Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
pune Division,Sabudana Khichdi,veg,1 cup,4.0,46.1,7.6,2.5,30.33,166,267.0,,0,0,5.0,0
pune Division,rice  + Tambdi Bhaji,veg,1 cup + 1 cup,7.4,39.2,5.6,6.5,10493.41,197,239.0,,1,1,5.0,0
pune Division,chapati + Tambdi Bhaji,veg,1 medium  + 1 cup,8.540000000000001,29.65,9.28,9.48,493.41,206,235.6,,1,1,5.0,0
