pune Division,Sabudana Khichdi,veg,"l,d",1 cup,4.0,46.1,7.6,2.5,30.33,166,267.0,,0,0,0
pune Division,chapati + Tambdi Bhaji,veg,d,1 medium  + 1 cup,8.540000000000001,29.65,9.28,9.48,0493.41,206,235.6,,1,1,5.0,0
