Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
amaravati division,Zunka Bhakri,veg,1 piece,2.1,6.5,1.6,1.3,9.98,40,48.0,,0,0,5.0,0
amaravati division,chapati + paneer varhadi curry,veg,1 medium  + 1 bowl,22.14,36.05,29.68,9.68,278.9,390,495.6,,1,1,5.0,0
amaravati division,chapati + Danyachi Amti,veg,1 medium  + 1 cup,14.04,29.35,39.48,12.28,48.83,290,513.6,,1,1,5.0,0
amaravati division,chapati + Kharda,veg,1 medium  + 1 table spoon,4.54,19.95,6.28,4.38,9.6,54,151.6,,1,1,5.0,0
