Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
North Karnataka,jolada rotti + heerekai ennegayi,veg,1 roti + 1 piece,2.2,20.3,2.3,2.2,9.51,70,109,,1,1,5.0,0
North Karnataka,jolada rotti + badanekai yennegai,veg,1 roti + 1 cup,7.1,33.3,13.4,8.1,70.71,300,275,,1,1,5.0,0
North Karnataka,jolada rotti + kempu harive soppuna palya,veg,1 roti + 1 cup,6.7,29.6,10.7,2.9,312.83,216,230,,1,1,5.0,0
North Karnataka,sajje rotti + heerekai ennegayi,veg,1 roti + 1 piece,3.9,21.7,8.3,3.6,17.619999999999997,70,176,,1,1,5.0,0
North Karnataka,sajje rotti + badanekai yennegai,veg,1 roti + 1 cup,8.8,34.7,19.4,9.5,78.82,300,342,,1,1,5.0,0
North Karnataka,rice + mensinkai hasi huli,veg,1 cup + 1 cup,8.9,41.6,16.4,4.4,222.0,281,350,,1,1,5.0,0
