Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
"Bastar plateau, Chattisgarh",madiya,,1 bowl,3.7,2.4,35.6,1.4,350,179
"Bastar plateau, Chattisgarh",Wild Mushroom Curry,,1 cup,5.0,11.6,7.5,3.5,250,124
"Bastar plateau, Chattisgarh",Tikhur Halwa,,1 katori,0.8,4.3,60.0,0.9,150,282
"Bastar plateau, Chattisgarh",red rice,,1 cup,16.0,0.0,148.0,8.0,180,641
"Bastar plateau, Chattisgarh",angakar roti,,1 piece,3.4,38.4,9.4,1.4,100,255
"Bastar plateau, Chattisgarh",kusli,,1 picee,2.5,8.0,20.6,1.3,40,164
"Bastar plateau, Chattisgarh",Bamboo Shoot Fry,,1 cup,6.2,12.3,9.4,3.2,166,155
