Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
South Indian,tamarind date chutney,,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,chutney coconut,,2 tbsp,1.27,4.92,4.38,1.67,0,37.20,59.96
South Indian,apple raisin chutney,,0.25 cup,0.46,26.34,0.12,0.84,0,60.80,104.18
South Indian,date tamarind chutney,,1 tbsp,0.10,4.87,0.03,0.25,0,17.85,18.77
South Indian,chutney tomato,,1 tbsp,0.33,7.68,0.13,0.45,0,46.00,33.68
South Indian,british style mango chutney,,1 tbsp,0.14,8.34,0.10,0.20,0,17.00,33.35
South Indian,biryani,,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,egg biryani,,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,biryani veg,,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,biryani egg,,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,fish biryani,,1 cup,19.36,31.09,10.01,1.31,0,205.18,295.74
South Indian,egg biryanis,,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,nasi biryani,,1 cup,4.29,42.72,14.81,1.76,0,170.80,321.02
South Indian,beef biryani,,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84
South Indian,palak biryani,,1 Serving,10.02,82.48,12.24,5.71,0,400.57,472.69
South Indian,steak biryani,,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84
South Indian,mutton biryani,,1 serving (about 2 cups),37.65,37.99,37.14,3.08,0,402.20,642.24
South Indian,chicken biryani,,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,biryani with egg,,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62
South Indian,chicken biryanis,,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95
South Indian,vegetable biryani,,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,fish biryani spice,,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,biryani fish spice,,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,vegetable biryanis,,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41
South Indian,fish biryani spice mix,,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,biryani fish spice mix,,0.25 tsp,0.02,0.14,0.02,0.08,0,1.20,0.62
South Indian,appam,,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,appams,,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,kerala appam,,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29
South Indian,payasam,,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
North Indian,paratha,,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
North Indian,egg paratha,,1 piece,11.32,45.13,7.46,6.80,0,106.14,278.62
North Indian,dal paratha,,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
North Indian,aloo paratha,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,roti paratha,,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54
North Indian,aloo parathas,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,palak paratha,,1 Piece,4.12,22.83,6.03,1.79,0,83.48,160.23
North Indian,onion paratha,,1 piece,5.67,39.94,10.70,8.47,0,115.76,276.55
North Indian,paratha paneer,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,paneer paratha,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,potato paratha,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato parathas,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,paneer parathas,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
North Indian,chana dal paratha,,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
North Indian,aloo stuffed paratha,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato stuffed paratha,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,potato stuffed parathas,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,poha,,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,pohas,,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,poha dry,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,raw poha,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,dry poha,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha upma,,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,poha raw,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,dry pohas,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,raw pohas,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha fruit,,1 cup,2.66,15.68,0.98,,0,140.00,74.20
North Indian,poha plain,,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,plain poha,,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,cooked poha,,1 cup,2.86,34.83,0.23,0.00,0,138.72,157.52
North Indian,uncooked poha,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,poha uncooked,,1 cup,7.15,87.07,0.57,,0,110.00,393.80
North Indian,veggie poha upma,,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,vegetable poha upma,,1 cup,4.03,35.41,6.92,1.91,0,163.40,219.18
North Indian,samosa,,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,meat samosa,,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,samosa beef,,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,samosa chaat,,1 cup,10.86,42.31,22.83,8.10,0,233.26,403.43
North Indian,meat samosas,,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,coconut samosa,,1 piece,1.91,19.36,6.07,1.03,0,38.37,139.08
North Indian,chicken samosa,,1 samosa,7.66,24.02,9.31,2.16,0,111.47,209.86
North Indian,coconut samosas,,1 piece,1.91,19.36,6.07,1.03,0,38.37,139.08
North Indian,chicken samosas,,1 samosa,7.66,24.02,9.31,2.16,0,111.47,209.86
North Indian,vegetable samosa,,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetarian samosa,,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetable samosas,,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,vegetarian samosas,,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50
North Indian,indian samosa chaat,,1 cup,10.86,42.31,22.83,8.10,0,233.26,403.43
North Indian,beef and potato samosa,,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,meat and potato samosa,,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63
North Indian,aloo tikki,,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo tikka,,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo pie,,1 pie,9.55,74.10,11.31,5.06,0,226.61,434.24
North Indian,aloo papri,,1 cup,6.78,31.53,10.03,2.21,0,128.89,242.11
North Indian,aloo sabzi,,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80
North Indian,aloo gobi,,1 cup,2.48,14.51,5.46,2.83,0,154.98,110.82
North Indian,aloo naan,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
North Indian,aloo pakora,,1 piece,0.88,3.54,0.23,0.49,0,15.51,19.77
North Indian,aloo jeera,,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
North Indian,aloo curry,,1 cup,2.94,20.53,13.23,3.60,0,237.69,204.18
North Indian,aloo masala,,1 cup,3.83,27.46,14.22,4.06,0,195.08,242.14
North Indian,aloo pakoras,,1 piece,0.88,3.54,0.23,0.49,0,15.51,19.77
North Indian,saag aloo,,1 cup,4.93,22.62,6.66,4.26,0,194.83,159.73
North Indian,jeera aloo,,1 cup,3.45,28.32,5.61,3.15,0,143.29,172.06
North Indian,aloo papri chaat,,1 cup,6.78,31.53,10.03,2.21,0,128.89,242.11
North Indian,tandoori aloo,,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58
North Indian,aloo gajar matar,,1 cup,3.83,22.94,5.86,4.55,0,158.02,154.54
North Indian,chole bhature,,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,chole bhatura,,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,channa bhature,,1 bhatura with chole,13.24,58.91,26.96,11.07,0,281.08,510.88
North Indian,chole puri,,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,chole rice,,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,bhature,,1 piece,5.57,30.29,10.51,3.46,0,86.04,230.05
North Indian,chole masala,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,chole,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,choles,,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,chole masala with rice,,1 cup,5.96,36.58,8.45,4.13,0,176.55,243.21
North Indian,no cholesterol mayo,,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
North Indian,cholesterol free mayo,,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
North Indian,cholesterol free mayonnaise,,1 tbsp,0.13,0.98,4.86,0.00,0,14.60,48.62
North Indian,kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,kachoris,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,dal kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,dal kachoris,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,khasta kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
North Indian,chana masala,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,channa masala,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,chana daal,,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chana dal,,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,tikka masala,,2 cups,55.61,21.70,47.79,4.33,0,472.00,729.73
North Indian,matar masala,,1 cup,4.71,19.06,7.01,4.66,0,241.29,149.32
North Indian,garam masala,,1 serving,0.16,0.85,0.19,0.36,0,1.47,4.64
North Indian,chana poori,,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,masala,,1 serving,0.16,0.85,0.19,0.36,0,1.47,4.64
North Indian,chana puri,,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,chanas,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,masala dosa,,1 medium dosa,3.88,29.20,3.72,0.86,0,96.78,167.67
North Indian,chana,,1 cup,7.67,28.63,16.45,7.60,0,195.08,280.93
North Indian,puri chana,,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,daal chanas,,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chana dal poori,,1 serving,15.11,54.05,14.28,13.33,0,226.02,392.59
North Indian,plain chana dal,,"1 cup, cooked",12.84,41.71,4.51,11.49,0,182.40,251.71
North Indian,chicken tikka masala,,2 cups,55.61,21.70,47.79,4.33,0,472.00,729.73
North Indian,misal pav,,1 serving (1 pav + 1 cup curry),10.07,41.66,7.37,8.38,0,225.90,263.80
North Indian,vada pav,,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
North Indian,wada pav,,1 sandwich,7.46,37.08,9.48,3.77,0,126.65,262.94
North Indian,pavlova,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlovas,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pav bhaji,,1 serving,11.75,62.58,11.44,9.44,0,404.33,389.75
North Indian,fruit pavlova,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlova cake,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,berry pavlova,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,salvadoreno pavo,,1 cup,38.46,10.39,10.53,1.83,0,245.09,298.05
North Indian,pavo salvadoreno,,1 cup,38.46,10.39,10.53,1.83,0,245.09,298.05
North Indian,mixed berry pavlova,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,pavlova with berries,,1 piece,3.40,39.86,10.87,2.08,0,151.72,263.43
North Indian,dhokla,,1 piece,5.70,15.88,7.36,2.54,0,57.86,151.72
North Indian,khaman dhokla,,1 piece,5.70,15.88,7.36,2.54,0,57.86,151.72
North Indian,paneer curry,,1 cup,17.48,10.13,29.09,1.48,0,236.00,367.39
North Indian,paneer cheese,,"1 cup, crumbled",22.07,3.64,29.06,0.00,0,122.00,364.78
North Indian,paneer korma,,1 cup,17.48,10.13,29.09,1.48,0,236.00,367.39
North Indian,paneer kabab,,1 skewer,12.75,12.04,20.54,1.24,0,177.92,280.30
North Indian,paneer kebab,,1 skewer,12.75,12.04,20.54,1.24,0,177.92,280.30
North Indian,paneer tikka,,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer butter,,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer masala,,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
North Indian,paneer,,"1 cup, crumbled",22.07,3.64,29.06,0.00,0,122.00,364.78
North Indian,matter paneer,,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,mutter paneer,,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,matar paneer,,1 serving,23.31,24.93,46.18,6.41,0,440.46,598.54
North Indian,palak paneer,,1 cup,15.06,10.01,30.48,2.64,0,200.00,365.53
North Indian,saag paneer,,1 cup,15.06,10.01,30.48,2.64,0,200.00,365.53
North Indian,chilli paneer,,1 cup,15.03,17.45,27.01,2.09,0,232.71,366.48
North Indian,shahi paneer,,1 cup,11.72,12.39,24.58,2.44,0,242.29,309.87
North Indian,chili paneer,,1 cup,15.03,17.45,27.01,2.09,0,232.71,366.48
North Indian,paneer tikka masala,,1 cup,8.24,6.90,16.27,1.50,0,198.14,201.27
Northeast and Coastal Indian,paratha paneer,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,paneer paratha,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,potato paratha,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Northeast and Coastal Indian,potato parathas,,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10
Northeast and Coastal Indian,paneer parathas,,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11
Northeast and Coastal Indian,momos,,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,nepali momos,,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,chicken momos,,1 dumpling,3.37,7.19,2.16,0.44,0,36.43,61.48
Northeast and Coastal Indian,lauki sabzi,,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Northeast and Coastal Indian,aloo sabzi,,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80
Northeast and Coastal Indian,ghormeh sabzi,,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Northeast and Coastal Indian,qormeh sabzi,,1 bowl (2 cups),44.62,32.84,24.80,8.05,0,503.40,523.27
Northeast and Coastal Indian,lauki ki sabzi,,1 cup,1.89,11.16,2.67,3.30,0,239.30,69.08
Northeast and Coastal Indian,chocolate rice pudding,,1 cup,2.51,49.79,0.20,0.00,0,172.00,212.86
Northeast and Coastal Indian,pakistani style rice pudding,,1 cup,11.56,47.74,13.20,1.34,0,290.21,351.79
Northeast and Coastal Indian,pakistani rice pudding,,1 cup,11.56,47.74,13.20,1.34,0,290.21,351.79
Northeast and Coastal Indian,thai steamed rice and pork pudding,,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,black pudding,,1 sausage,16.56,1.46,39.12,0.00,0,113.40,429.79
Northeast and Coastal Indian,rice pudding,,0.5 cup,2.97,16.92,1.98,0.28,0,92.00,99.36
Northeast and Coastal Indian,banana pudding,,1 cup,3.98,46.64,10.11,1.17,0,175.44,287.63
Northeast and Coastal Indian,black eye peas and rice,,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,black rice,,1 cup,4.25,44.51,0.44,0.63,0,158.00,205.40
Northeast and Coastal Indian,blackeye peas and rice,,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,black beans with rice,,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black beans and rice,,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black eyed peas and rice,,1 cup,12.27,51.81,1.99,6.21,0,224.00,276.25
Northeast and Coastal Indian,thai steamed rice pudding with pork,,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,thai steamed pudding with rice and pork,,1 cup,7.12,45.33,17.35,0.71,0,194.94,368.68
Northeast and Coastal Indian,black beans with rice and tomatoes,,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,black beans and rice with tomatoes,,1 cup,5.75,42.86,5.46,4.16,0,239.00,244.13
Northeast and Coastal Indian,rice kheer,,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
Northeast and Coastal Indian,kheer,,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29
Rajastani,dal kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,khasta kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,dal kachoris,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kachori,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kachoris,,1 piece,1.50,7.68,5.26,0.63,0,19.78,83.29
Rajastani,kimchi,,1 cup,1.65,3.60,0.75,2.40,0,150.00,22.50
Rajastani,kit kat,,1 bar (1.5 oz),2.73,27.13,10.92,0.42,0,42.00,217.56
Rajastani,kiwi,,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,sungold kiwi,,1 fruit,0.83,12.79,0.23,1.13,0,81.00,51.03
Rajastani,kiwi smoothie,,12 fl oz,6.85,52.01,2.73,3.55,0,308.52,245.00
Rajastani,kipper snacks,,"2 oz, boneless",13.94,0.00,7.01,0.00,0,56.70,123.04
Rajastani,kiwifruit,,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,kielbasa,,1 link,45.69,18.46,108.93,0.00,0,367.00,1236.79
Rajastani,kidneys,,3 oz,23.18,0.00,3.95,0.00,0,85.00,134.30
Rajastani,kiwis,,"1 fruit (2"" dia)",0.79,10.12,0.36,2.07,0,69.00,42.09
Rajastani,turkey kielbasa,,1 link,45.69,18.46,108.93,0.00,0,367.00,1236.79
Rajastani,kidney beans,,1 cup,15.35,40.36,0.89,11.33,0,177.00,224.79
Rajastani,burger king french fries,,1 medium serving,3.78,45.28,14.60,3.39,0,117.00,327.60
Rajastani,strawberry kiwi smoothie,,12 fl oz,6.85,52.01,2.73,3.55,0,308.52,245.00
Rajastani,dry white kidney beans,,1 cup,47.19,121.75,1.72,30.70,0,202.00,672.66
Rajastani,baati chokha,,1 piece,5.18,25.09,3.35,4.18,0,104.81,144.08
Rajastani,dal baati,,1 Baati with dal,11.59,36.15,13.49,9.53,0,165.25,301.48
Rajastani,dal paratha,,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43
Rajastani,dal chawal,,1 cup,12.78,48.22,5.84,9.53,0,207.00,293.42
Rajastani,baati,,1 piece,4.44,19.19,2.91,3.09,0,49.58,115.75
Rajastani,dal makhani,,1 serving,16.28,39.48,24.21,13.21,0,253.46,426.89
Rajastani,dal rice,,1 cup,12.78,48.22,5.84,9.53,0,207.00,293.42
Rajastani,palak dal,,1 servings,12.80,29.07,8.77,11.46,0,184.68,236.84
Rajastani,daleem,,1 bowl (2 cups),7.54,7.80,5.52,2.12,0,151.80,109.22
