Field 0,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11
Cuisines,Food item,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),Food Allergies,Volume
N/A,jaggery,100,0,98.7,0,0,N/A,100,371.9,N/A,0
N/A,arrowroot,100,4.3,13.5,0.2,1.3,N/A,100,64.7,N/A,0
N/A,millet,100,3.5,23.6,1,1.3,N/A,100,122.2,N/A,0
N/A,cumin,100,17.8,44.5,22.4,10.5,N/A,100,379.3,N/A,0
N/A,pomegranate seeds,100,1.7,18.8,1.2,3.9,N/A,100,81.5,N/A,0
N/A,chickpeas,100,8.9,27.8,2.6,7.5,N/A,100,166.1,N/A,0
N/A,amaranth flour,100,14.6,65.8,9.3,6.5,N/A,100,404.9,N/A,0
N/A,buckwheat flour,100,12.6,70.3,3.1,10.1,N/A,100,341.3,N/A,0
N/A,water chestnut,100,0.9,6.9,0.1,1.6,N/A,100,31,N/A,0
N/A,chestnut flour,100,5,79.7,3.8,0,N/A,100,379.2,N/A,0
N/A,black rice,100,2.7,28.5,0.3,0.4,N/A,100,131.1,N/A,0
N/A,salt,100,0,0,0,0,N/A,100,0,N/A,0
N/A,milk,100,3.5,4.9,1.9,0,N/A,100,51.3,N/A,0
N/A,tomato,100,0.9,3.9,0.2,1.2,N/A,100,18.2,N/A,0
N/A,garlic,100,6.4,32.5,0.7,2,N/A,100,144.8,N/A,0
N/A,spinach,100,2.9,3.8,0.3,2.4,N/A,100,23.3,N/A,0
N/A,sherbet,100,1.1,29.9,2,1.3,N/A,100,144.6,N/A,0
N/A,prickly pear,100,0.7,9.7,0.5,3.7,N/A,100,40.9,N/A,0
N/A,banana,100,1.1,23.2,0.3,2.6,N/A,100,89.4,N/A,0
N/A,amaranth,100,3.8,18.6,1.6,2.1,N/A,100,100.7,N/A,0
N/A,musli,100,11.2,75.6,3.3,9.1,N/A,100,352.8,N/A,0
N/A,drumsticks,100,24,0,8.8,0,N/A,100,180.4,N/A,0
N/A,jackfruit,100,1.7,23.4,0.6,1.5,N/A,100,94.9,N/A,0
N/A,ginger,100,2,18.3,1,2,N/A,100,78.3,N/A,0
N/A,rose,100,0.4,3.8,0,0,N/A,100,85.4,N/A,0
N/A,saffron,100,11.5,65.5,5.8,4.3,N/A,100,301.8,N/A,0
N/A,dates,100,2.4,75.8,0.4,8.1,N/A,100,276.5,N/A,0
N/A,nuts,100,20.1,21.4,53.8,6.9,N/A,100,613.2,N/A,0
N/A,hemp seeds,100,31.3,8.5,48.4,4,N/A,100,565.8,N/A,0
N/A,morel mushrooms,100,3.1,5.1,0.5,2.8,N/A,100,30.9,N/A,0
N/A,dahi vada,100,5.3,10.9,7,3.4,N/A,100,122.5,N/A,0
N/A,chicken tikka,100,13.1,4.5,4.8,0.9,N/A,100,115.7,N/A,0
N/A,tikka,100,13.1,4.4,4.8,0.9,N/A,100,116.7,N/A,0
N/A,basmati rice,100,2.7,27.7,0.3,0.4,N/A,100,126.4,N/A,0
N/A,whole wheat flour,100,13.3,71.5,2.5,10.9,N/A,100,332.1,N/A,0
N/A,ghee,100,0.3,0,98.2,0,N/A,100,893.6,N/A,0
N/A,yogurt,100,5.3,7.2,1.6,0,N/A,100,64.2,N/A,0
N/A,cumin seeds,100,17.7,44.2,22.3,10.6,N/A,100,374.9,N/A,0
N/A,mustard seeds,100,25.9,28.2,36,11.8,N/A,100,519,N/A,0
N/A,turmeric,100,9.6,68,3.4,22.6,N/A,100,309.4,N/A,0
