Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Vindhya,Bati,Lunch/Dinner,1 piece,1.8,10.4,5.0,1.6,7.58,30,94
Vindhya,tikadia,Snack,1 piece,2.0,11.0,2.6,2.1,17.32,35,74
Vindhya,mungodi,Snack,1 cup,8.5,20.5,0.5,2.9,18.26,83,120
Vindhya,sarson ka saag,Lunch/Dinner,1 cup,4.0,12.8,8.2,4.0,148.00,250,136
Vindhya,lapsi,Dessert,1 bowl,4.7,63.0,17.6,4.2,35.62,350,424
Vindhya,dahi vada,Snack,1 piece,8.0,22.0,11.0,3.8,59.00,155,215
