Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
north coastal odisha,badi chura,,1 bowl,13.0,33.0,30.0,7.5,233,439
north coastal odisha,dalma,,1 cup,9.0,29.0,5.7,5.6,250,198
north coastal odisha,dahi machhi,,1 bowl,49.0,16.0,7.2,1.6,350,380
north coastal odisha,rasabali,,1 piece,3.2,7.6,8.5,0.1,40,113
north coastal odisha,kora khai,,1 cup,7.0,123.0,12.6,4.0,166,634
north coastal odisha,khichdi,,1 cup,7.6,40.3,2.0,2.0,250,208
north coastal odisha,prawn balchao,,1 tablespoon,1.5,2.0,1.2,0.1,15,29
north coastal odisha,arisa pitha,,1 piece,1.4,24.0,8.3,0.6,50,177
