Cuisines,Food item,type,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI
South Indian,british style mango chutney,veg,1 tbsp,0.14,8.34,0.10,0.20,0,17.00,33.35,41
South Indian,egg biryani,egg,1 cup,6.74,30.75,7.86,1.65,0,169.41,221.62,59
South Indian,biryani veg,veg,1 cup,4.18,36.82,3.88,1.97,0,168.81,198.41,50
South Indian,fish biryani,non veg,1 cup,19.36,31.09,10.01,1.31,0,205.18,295.74,59
South Indian,nasi biryani,non veg,1 cup,4.29,42.72,14.81,1.76,0,170.80,321.02,50
South Indian,beef biryani,non veg,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84,58
South Indian,palak biryani,veg,1 Serving,10.02,82.48,12.24,5.71,0,400.57,472.69,50
South Indian,steak biryani,non veg,1 cup,19.89,19.00,16.96,1.54,0,201.15,310.84,58
South Indian,mutton biryani,non veg,1 serving (about 2 cups),37.65,37.99,37.14,3.08,0,402.20,642.24,59
South Indian,chicken biryani,non veg,1 cup,19.65,30.95,9.44,1.36,0,205.18,291.95,58
South Indian,appam,veg,1 piece,1.47,16.68,2.39,0.61,0,45.94,94.29,46
South Indian,payasam,veg,0.5 cup,4.16,17.29,5.34,0.38,0,112.50,131.29,67
North Indian,egg paratha,egg,1 piece,11.32,45.13,7.46,6.80,0,106.14,278.62,65
North Indian,dal paratha,veg,1 Paratha,4.16,20.68,5.47,1.91,0,64.02,148.43,45
North Indian,aloo paratha,veg,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10,70
North Indian,roti paratha,veg,1 piece,5.02,35.83,10.43,7.58,0,79.00,257.54,60
North Indian,aloo parathas,veg,1 piece,6.13,45.53,10.61,8.72,0,130.65,300.10,72
North Indian,palak paratha,veg,1 Piece,4.12,22.83,6.03,1.79,0,83.48,160.23,50
North Indian,onion paratha,veg,1 piece,5.67,39.94,10.70,8.47,0,115.76,276.55,52
North Indian,paratha paneer,veg,1 piece,7.70,20.62,7.78,3.03,0,77.75,176.11,55
North Indian,aloo samosa,veg,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50,75
North Indian,meat samosa,non veg,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63,79
North Indian,samosa beef,non veg,1 samosa,7.44,20.00,11.07,1.67,0,93.30,209.63,79
North Indian,samosa chaat,veg,1 cup,10.86,42.31,22.83,8.10,0,233.26,403.43,77
North Indian,coconut samosa,veg,1 piece,1.91,19.36,6.07,1.03,0,38.37,139.08,72
North Indian,chicken samosa,non veg,1 samosa,7.66,24.02,9.31,2.16,0,111.47,209.86,77
North Indian,vegetable samosa,veg,1 samosa,3.49,23.91,17.24,2.08,0,100.00,261.50,73
North Indian,aloo tikki,veg,1 cup,3.54,18.25,16.50,2.37,0,121.29,228.58,75
North Indian,aloo papri,veg,1 cup,6.78,31.53,10.03,2.21,0,128.89,242.11,75
North Indian,aloo sabzi,veg,1 cup,3.52,27.19,2.67,3.76,0,159.52,140.80,70
North Indian,aloo gobi,veg,1 cup,2.48,14.51,5.46,2.83,0,154.98,110.82,69
