Cuisines,Food item,Field 2,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Total (in g),Calories (in Cal)
south gujrat,Surati Undhiyu:,,1 cup,11.2,31.2,24.4,10.7,216,387
south gujrat,ghari,,1 piece,0.5,10.0,0.4,2.2,30,46
south gujrat,Ponk Vada,,1 piece,2.3,12.6,3.3,1.8,40,89
south gujrat,patra,,1 piece,1.3,7.8,2.3,1.1,25,57
south gujrat,1 locho,,1 cup,11.5,34.4,11.9,7.9,166,288
south gujrat,dabeli,,1 serve,5.0,44.0,12.0,2.4,125,303
south gujrat,Kolmi no Patio,,1 cup,15.5,11.2,7.0,2.5,250,169
south gujrat,kokam sherbet,,1 glass,0.2,21.4,0.2,3.4,150,97
south gujrat,Umbariyu:,,1 cup,4.5,26.0,5.4,11.1,166,167
