Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
pandya naadu,Chettinadu Idiyappam with Coconut Milk,veg,1 piece,1.0,15.7,0.0,0.5,2.94,50,77.0,,0,0,5.0,0
pandya naadu,Alagar Kovil Dosai + Kothamalli Thogayal,veg,1 piece + 1 tablespon,5.0,25.3,7.4,4.0,32.7,95,187.0,,1,1,5.0,0
