Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
Coastal andhra,chapati + Gongura Mamsam,non veg,1 medium  + 1 cup,31.14,28.45,28.68,7.68,,250,418,,1,1,5.0,mutton
Coastal andhra,chapati + Gutti Vankaya Kura,veg,1 medium  + 1 cup,8.14,32.15,16.28,10.28,,250,224,,1,1,5.0,0
Coastal andhra,chapati + Bommidayila Pulusu,non veg,1 medium  + 1 cup,27.14,26.45,19.68,5.68,,250,314,,1,1,5.0,seafood
Coastal andhra,chapati + Dondakaya Fry,veg,1 medium  + 1 cup,5.84,24.45,20.38,9.48,,166,225,,1,1,5.0,0
Coastal andhra,chapati + Panasa Puttu Koora,veg,1 medium  + 1 bowl,9.74,79.45,13.68,8.879999999999999,,350,377,,1,1,5.0,0
