Cuisines,Food item,Type,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
North Indian,ragi roti + chili paneer,veg,1 large + 1 cup,17.81,36.97,32.72,3.2299999999999995,0,300.69,505.72,,1,1,5.0,0
North Indian,ragi roti + paneer tikka masala,veg,1 large + 1 cup,11.02,26.42,21.98,2.64,0,266.12,340.51,,1,1,5.0,0
North Indian,ragi roti + lauki sabzi,veg,1 large + 1 cup,4.67,30.68,8.379999999999999,4.44,0,307.28000000000003,208.32,,1,1,5.0,0
North Indian,ragi roti + rajma,veg,1 large + 1 cup,18.13,59.88,6.6,12.47,0,244.98,364.03,,1,1,5.0,0
North Indian,ragi roti + dal makhani,veg,1 large + 1 serving,19.06,59.0,29.92,14.35,0,321.44,566.13,,1,1,5.0,0
North Indian,ragi roti + palak dal,veg,1 large + 1 servings,15.58,48.59,14.48,12.6,0,252.66000000000005,376.08,,1,1,5.0,0
North Indian,ragi roti + drumstick dal,veg,1 large + 1 serving,7.74,36.3,14.21,6.02,0,453.52,294.44,,1,1,5.0,0
North Indian,ragi roti + plain chana dal,veg,"1 large + 1 cup cooked",15.62,61.23,10.22,12.63,0,250.38,390.9500000000001,,1,1,5.0,0
North Indian,ragi roti + lentil dal,veg,1 large + 1 cup,17.03,53.46,9.89,14.03,0,282.24,361.12,,1,1,5.0,0
North Indian,ragi roti + coconut dal,veg,1 large + 1 cup,9.53,35.379999999999995,21.99,6.14,0,208.53000000000003,363.98,,1,1,5.0,0
North Indian,ragi roti + dal,veg,1 large + 1 cup,17.03,53.46,9.89,14.03,0,282.24,361.12,,1,1,5.0,0
North Indian,ragi roti + chana dal,veg,"1 large + 1 cup cooked",15.62,61.23,10.22,12.63,0,250.38,390.9500000000001,,1,1,5.0,0
North Indian,ragi roti + moong dal,veg,1 large + 1 cup,18.49,60.040000000000006,7.76,17.04,0,274.44,374.91,,1,1,5.0,0
North Indian,ragi roti + lauki sabzi,veg,1 large + 1 cup,4.67,30.68,8.379999999999999,4.44,0,307.28000000000003,208.32,,1,1,5.0,0
North Indian,ragi roti + qormeh sabzi,non veg,1 large + 1 bowl (2 cups),47.4,52.36,30.51,9.19,0,571.38,662.51,,1,1,5.0,mutton
North Indian,ragi roti + mawa paneer curry,veg,1 large + 1 cup,16.18,36.24,25.2,3.07,0,266.27,428.0,,1,1,5.0,0
North Indian,ragi roti + palak paneer,veg,1 large + 1 cup,17.84,29.53,36.19,3.78,0,267.98,504.77,,1,1,5.0,0
North Indian,ragi roti + baingan bharta,veg,1 large + 1 cup,4.92,36.99,11.35,5.96,0,301.9,256.65,,1,1,5.0,0
North Indian,ragi roti + dal makhani,veg,1 large + 1 serving,19.06,59.0,29.92,14.35,0,321.44,566.13,,1,1,5.0,0
North Indian,ragi roti + bhindi fry,veg,1 large + 1 cup,5.64,31.12,22.4,5.08,0,254.43,335.17,,1,1,5.0,0
North Indian,ragi roti + veggie stir fry,veg,1 large + 1 cup,8.81,34.91,16.6,6.15,0,305.8,309.79,,1,1,5.0,0
North Indian,wheat roti + chole,veg,1 medium + 1 cup,10.81,47.08,20.13,11.48,0,235.08,400.53,,1,1,5.0,0
North Indian,wheat roti + paneer butter masala,veg,1 medium + 1 cup,11.38,25.35,19.95,5.38,0,238.14,320.87,,1,1,5.0,0
North Indian,wheat roti + mutter paneer,veg,1 medium + 1 serving,26.45,43.38,49.86,10.29,0,480.46,718.14,,1,1,5.0,0
North Indian,wheat roti + palak paneer,veg,1 medium + 1 cup,18.2,28.46,34.160000000000004,6.52,0,240.0,485.13,,1,1,5.0,0
North Indian,wheat roti + saag paneer,veg,1 medium + 1 cup,18.2,28.46,34.160000000000004,6.52,0,240.0,485.13,,1,1,5.0,0
North Indian,wheat roti + shahi paneer,veg,1 medium + 1 cup,14.86,30.84,28.26,6.32,0,282.29,429.47,,1,1,5.0,0
North Indian,wheat roti + chili paneer,veg,1 medium + 1 cup,18.17,35.9,30.69,5.97,0,272.71000000000004,486.08,,1,1,5.0,0
North Indian,wheat roti + paneer tikka masala,veg,1 medium + 1 cup,11.38,25.35,19.95,5.38,0,238.14,320.87,,1,1,5.0,0
