Nashik Division,Zunka Bhakri,veg,"l,d",1 piece,2.1,6.5,1.6,1.3,9.98,40,48.0,,0,0,0
Nashik Division,Masale Bhaat,veg,l,1 cup,4.3,35.5,6.7,2.2,23.67,206,219.0,,0,0,0
Nashik Division,rice  + Khandeshi Mutton curry,non veg,l,1 cup + 1 bowl,26.7,40.5,27.5,4.0,252.89,381,518.0,,1,1,5.0,mutton
Nashik Division,rice  + Soya Chunks Bhaji,veg,l,1 cup + 1 cup,16.1,46.3,6.9,7.4,118.54,281,313.0,,1,1,5.0,0
Nashik Division,rice  + Bharli Vangi,veg,l,1 cup + 1 cup,6.8,42.7,17.6,7.7,61.94,247,353.0,,1,1,5.0,0
Nashik Division,rice  + Tomato Saar,veg,l,1 cup + 1 cup,3.8,34.4,7.4,4.6000000000000005,40.03,281,223.0,,1,1,5.0,0
Nashik Division,rice  + Danyachi Amti,veg,l,1 cup + 1 cup,12.9,38.9,35.8,9.3,58.83,281,517.0,,1,1,5.0,0
Nashik Division,rice  + Papdi Bhaji,veg,l,1 cup + 1 bowl,7.1,44.3,12.5,12.0,89.59,264,320.0,,1,1,5.0,0
Nashik Division,chapati + Khandeshi Mutton curry,non veg,l,1 medium  + 1 bowl,27.84,30.95,31.18,6.98,242.89,390,514.6,,1,1,5.0,mutton
Nashik Division,chapati + Soya Chunks Bhaji,veg,l,1 medium  + 1 cup,17.24,36.75,10.58,10.379999999999999,108.54,290,309.6,,1,1,5.0,0
Nashik Division,chapati + Bharli Vangi,veg,l,1 medium  + 1 cup,7.9399999999999995,33.15,21.28,10.68,51.94,256,349.6,,1,1,5.0,0
Nashik Division,chapati + Danyachi Amti,veg,l,1 medium  + 1 cup,14.040000000000001,29.35,39.48,12.280000000000001,48.83,290,513.6,,1,1,5.0,0
Nashik Division,chapati + Papdi Bhaji,veg,l,1 medium  + 1 bowl,8.24,34.75,16.18,14.98,79.59,273,316.6,,1,1,5.0,0
