Cuisines,Food item,Type,Quantity,Proteins (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal),GI,Side,Needside,rating,meat_type
central kerala,Kozhi Pidi,non veg,1 cup,19.2,27.3,14.3,4.6,39.0,216,318.0,,0,0,5.0,chicken
central kerala,rice  + koottu curry,veg,1 cup + 1 cup,9.3,63.1,12.5,14.7,92.56,281,402.0,,1,1,5.0,0
central kerala,rice  + olan,veg,1 cup + 1 cup,9.0,44.6,11.5,4.1000000000000005,48.75,281,318.0,,1,1,5.0,0
central kerala,rice  + yam theeyal,veg,1 cup + 1 bowl,5.1,56.4,22.1,8.8,76.46,381,445.0,,1,1,5.0,0
central kerala,rice  + meen peera,non veg,1 cup + 1 cup,18.8,37.0,17.4,3.9,70.0,197,379.0,,1,1,5.0,seafood
central kerala,chapati + yam theeyal,veg,1 medium  + 1 bowl,6.24,46.85,25.78,11.78,66.46,390,441.6,,1,1,5.0,0
central kerala,chapati + meen peera,non veg,1 medium  + 1 cup,19.94,27.45,21.08,6.88,60.0,206,375.6,,1,1,5.0,seafood
